FUNCTION,AGENCY
VF 350 CONSUMER AFFAIRS CONSULTATION,VA 3136 Victorian Consumer Affairs Committee 1983 -ct Prime
"VF 422 BUS SERVICES, URBAN, CO-ORDINATION OF",VA 1038 State Transport Authority 1983 -ct Prime
VF 430 CRIMINAL PROCEEDINGS,VA 2550 Office of Public Prosecutions (Known as Office of the Director of Public Prosecutions from 1983-1995) 1983 -ct Prime
"VF 463 RAIL AND ROAD SERVICES, COUNTRY",VA 1038 State Transport Authority 1983 -ct Prime
VF 483 TOXICOLOGY BRANCH,VA 2829 State Chemistry Laboratory 1983 -ct Prime
VF 135 FACTORY REGISTRATION,VA 704 Ministry of Employment and Training 1984 -1985 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 704 Ministry of Employment and Training 1984 -1985 Prime
VF 150 DANGEROUS GOODS,VA 704 Ministry of Employment and Training 1984 -1985 Prime
VF 221 OCCUPATIONAL HEALTH SERVICES,VA 704 Ministry of Employment and Training 1984 -1985 Prime
VF 122 RURAL WATER SUPPLY,VA 2354 Department of Water Resources 1984 -1990 Other
VF 178 SOIL CONSERVATION,"VA 1034 Department of Conservation, Forests and Lands 1984 -1990 Prime"
VF 473 RURAL WATER RESOURCES POLICY,VA 2354 Department of Water Resources 1984 -1990 Prime
VF 493 WATER RESOURCE MANAGEMENT,VA 2354 Department of Water Resources 1984 -1990 Prime
VF 210 GOVERNMENT MOTOR TRANSPORT,VA 430 Department of Property and Services 1984 -1991 Prime
VF 418 WATER SUPPLY,VA 2256 Sunbury Water Board 1984 -1991 Prime
VF 418 WATER SUPPLY,VA 4768 Riddells Creek Water Board 1984 -1991 Prime
VF 418 WATER SUPPLY,VA 4773 Gisborne Water Board 1984 -1991 Prime
VF 418 WATER SUPPLY,VA 4765 Macedon Water Board 1984 -1991 Prime
VF 418 WATER SUPPLY,VA 2673 Mirboo Water Board 1984 -1991 Prime
VF 122 RURAL WATER SUPPLY,VA 2338 Rural Water Commission 1984 -1992 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2258 Tarwin Valley Water Board 1984 -1993 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4402 Lexton Water Board 1984 -1993 Prime
VF 122 RURAL WATER SUPPLY,VA 2355 Geelong and District Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2558 Wonthaggi - Inverloch Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2261 Westernport Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 5020 Bright District Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2223 Alberton Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2677 South Gippsland Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2355 Geelong and District Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4723 Korumburra Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2235 Leongatha Water Board 1984 -1994 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4945 Mortlake Water Board 1984 -1994 Prime
VF 418 WATER SUPPLY,VA 2261 Westernport Water Board 1984 -1994 Prime
VF 418 WATER SUPPLY,VA 4778 Shire of Ararat Water Board 1984 -1994 Prime
VF 418 WATER SUPPLY,VA 4777 Ararat City Council Water Board 1984 -1994 Prime
VF 418 WATER SUPPLY,VA 2355 Geelong and District Water Board 1984 -1994 Prime
VF 365 TAXATION APPEALS,VA 2659 Administrative Appeals Tribunal 1984 -1998 Prime
VF 399 PARKS AND RESERVES,VA 2645 Alpine Resorts Commission 1984 -1998 Prime
VF 35 COASTAL MANAGEMENT (PORT PHILLIP AREA),VA 1024 Ministry for Planning and Environment 1984 -ct Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 4107 Metropolitan Reception Prison 1984 -ct Prime
"VF 417 WATER AND SEWERAGE TRUSTS, SUPERVISION OF",VA 641 Ministry of Water Resources and Water Supply 1984 -ct Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 1371 Industrial Safety Health and Welfare Advisory Council 1985 -1985 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) 1985 -1985 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 652 Health Commission of Victoria 1985 -1985 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 613 Department of Community Welfare Services 1985 -1985 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,"VA 1393 Department of Industry, Commerce and Technology 1985 -1985 Prime"
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1987 Other
VF 255 SHOP REGISTRATION,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1987 Prime
VF 267 EMPLOYMENT OF CHILDREN,VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1987 Prime
VF 246 FISH MARKETING,VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) 1985 -1988 Prime
VF 149 GROUNDWATER RESOURCES,"VA 2661 Department of Industry, Technology and Resources 1985 -1989 Prime"
VF 259 RETAIL TRADING HOURS,"VA 2661 Department of Industry, Technology and Resources 1985 -1989 Prime"
VF 24 GEOLOGICAL SURVEY,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 78 PROPERTY AND ASSETS,VA 1022 Department of Management and Budget 1985 -1990 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 152 PETROLEUM INDUSTRY,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 170 REGIONAL DEVELOPMENT,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 220 ECONOMIC DEVELOPMENT,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
"VF 230 FISHERIES, COMMERCIAL LICENCES","VA 1034 Department of Conservation, Forests and Lands 1985 -1990 Prime"
VF 236 COASTAL MANAGEMENT,"VA 1034 Department of Conservation, Forests and Lands 1985 -1990 Prime"
VF 244 BUILDING REGULATION,VA 1024 Ministry for Planning and Environment 1985 -1990 Prime
VF 251 WELFARE SERVICES (PRE-SCHOOL CHILDREN),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1990 Prime
VF 261 FUEL PRICES REGULATION,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,"VA 2661 Department of Industry, Technology and Resources 1985 -1990 Prime"
VF 348 LAND MONITORING,VA 1022 Department of Management and Budget 1985 -1990 Prime
VF 17 SURVEY,VA 430 Department of Property and Services 1985 -1991 Prime
VF 38 TITLES,VA 430 Department of Property and Services 1985 -1991 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1991 Prime
VF 187 VALUATIONS,VA 430 Department of Property and Services 1985 -1991 Prime
VF 203 YOUTH AFFAIRS,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1991 Prime
VF 212 REGISTRAR-GENERAL,VA 430 Department of Property and Services 1985 -1991 Prime
"VF 213 BUILDINGS, GOVERNMENT (MANAGEMENT)",VA 430 Department of Property and Services 1985 -1991 Prime
VF 214 GOVERNMENT EMPLOYEE HOUSING,VA 430 Department of Property and Services 1985 -1991 Prime
VF 215 PLACE NAMES COMMITTEE,VA 430 Department of Property and Services 1985 -1991 Prime
VF 216 LANDATA,VA 430 Department of Property and Services 1985 -1991 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2909 Office of Intellectual Disability Services 1985 -1991 Prime
VF 362 EMPLOYMENT,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1991 Prime
VF 19 EDUCATION,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1985 -1992 Prime
VF 28 CEMETERIES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1985 -1992 Prime
VF 67 HOSPITALS AND CHARITIES,VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1985 -1992 Prime
VF 72 WORKERS' COMPENSATION,VA 2732 Accident Compensation Commission 1985 -1992 Prime
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
"VF 125 HEALTH, PUBLIC",VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1985 -1992 Prime
"VF 128 HEALTH, MENTAL",VA 2695 Department of Health II (commonly known as the Health Department Victoria) 1985 -1992 Prime
VF 135 FACTORY REGISTRATION,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1992 Prime
VF 150 DANGEROUS GOODS,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1992 Prime
VF 168 INDUSTRIAL RELATIONS (PUBLIC SECTOR),VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1992 Prime
VF 169 SOLICITOR-GENERAL,VA 1039 Department of the Premier and Cabinet 1985 -1992 Prime
VF 188 WEIGHTS AND MEASURES,VA 1026 Ministry of Consumer Affairs 1985 -1992 Prime
VF 197 HOUSEBUILDING LIABILITY,VA 1026 Ministry of Consumer Affairs 1985 -1992 Prime
VF 202 SPORT AND RECREATION,VA 2691 Department of Sport and Recreation 1985 -1992 Prime
VF 224 INDUSTRIAL RELATIONS,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1992 Other
VF 247 DOMICILIARY CARE SERVICES,VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
"VF 248 HEALTH, PUBLIC (INFANT AND MATERNAL)",VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 252 WELFARE SERVICES,VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1985 -1992 Prime
"VF 298 CHILDREN'S HOMES, FUNDING",VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 345 WORKERS COMPENSATION ARBITRATION,VA 2778 Accident Compensation Tribunal 1985 -1992 Prime
VF 424 CHILD MAINTENANCE (FINANCIAL ALLOWANCES FOR),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR",VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
"VF 450 JUVENILE DELINQUENTS, DETENTION AND WELFARE OF",VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 496 WELFARE SERVICES (FAMILY),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 498 WELFARE SERVICES (NEGLECTED CHILDREN),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 499 WELFARE SERVICES (YOUTH),VA 2633 Department of Community Services (also known as Community Services Victoria) 1985 -1992 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 5031 Glenelg-Wannon Water Board 1985 -1994 Prime
VF 418 WATER SUPPLY,VA 4124 Macalister Water Board 1985 -1994 Prime
VF 418 WATER SUPPLY,VA 2671 Tarago Water Board 1985 -1994 Prime
VF 110 VETERINARY SERVICES,VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) 1985 -1995 Prime
VF 111 ANIMAL PROTECTION,VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) 1985 -1995 Prime
VF 245 AGRICULTURE,VA 2649 Department of Agriculture and Rural Affairs (known as Department of Agriculture 1991-1992; Department of Food and Agriculture January 1992 - October 1992; Department of Agriculture 1992 - 1995) 1985 -1995 Prime
VF 55 TRANSPORT ACCIDENT COMPENSATION APPEALS,VA 2659 Administrative Appeals Tribunal 1985 -1998 Prime
VF 56 RAFFLES AND BINGO,VA 2691 Department of Sport and Recreation 1985 -ct Prime
VF 175 ABORIGINAL AFFAIRS,"VA 3101 Aboriginal Affairs, Victoria (known as Department of Aboriginal Affairs 1991-1992) 1985 -ct Prime"
VF 185 PLANNING SCHEMES (TO 1988) MELBOURNE METROPOLITAN,VA 1024 Ministry for Planning and Environment 1985 -ct Prime
VF 201 RACING AND GAMING,VA 2691 Department of Sport and Recreation 1985 -ct Prime
VF 229 RESEARCH INSTITUTES,VA 4277 Victorian Institute of Forensic Medicine 1985 -ct Prime
VF 394 LAW,VA 4277 Victorian Institute of Forensic Medicine 1985 -ct Prime
"VF 457 PLUMBERS/GASFITTERS, REGISTRATION/REGULATION OF",VA 1024 Ministry for Planning and Environment 1985 -ct Prime
VF 483 TOXICOLOGY BRANCH,VA 4277 Victorian Institute of Forensic Medicine 1985 -ct Prime
"VF 301 POLICE, INVESTIGATION OF COMPLAINTS CONCERNING",VA 2834 Police Complaints Authority 1986 -1998 Prime
VF 458 PORT AND MARINE RELATED SERVICES,VA 1426 Port of Melbourne Authority 1986 -1996 Prime
"VF 460 PORTS, EASTERN VICTORIA, ADMINISTRATION OF",VA 1426 Port of Melbourne Authority 1986 -1996 Prime
VF 5 FINANCE,VA 4197 Emergency Services Superannuation Board 1986 -ct Prime
"VF 61 BUILDING SOCIETIES, REGULATION OF",VA 679 Corporate Affairs Office 1986 -ct Prime
VF 143 TRANSPORT ACCIDENT COMPENSATION,VA 2892 Transport Accident Commission 1986 -ct Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 2804 Office of the Public Adovcate 1986 -ct Prime
VF 250 PHYSICAL AND SENSORY DISABILITY SERVICES,VA 4279 Office of the Public Advocate [AGENCY REGISTRATION CANCELLED - SEE VA 4710] 1986 -ct Prime
VF 364 LEGAL AID,VA 4279 Office of the Public Advocate [AGENCY REGISTRATION CANCELLED - SEE VA 4710] 1986 -ct Prime
VF 374 CORONIAL SERVICES,VA 2807 State Coroner's Office 1986 -ct Prime
VF 394 LAW,VA 2804 Office of the Public Adovcate 1986 -ct Prime
VF 423 CHARITY FUNDRAISING ADMINISTRATION,VA 2825 Attorney-General's Department (previously known as the Law Department) 1986 -ct Prime
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",VA 2907 Ministry of Housing and Construction 1987 -1988 Prime
"VF 219 SUPPLY OF FURNITURE, STORES AND EQUIPMENT",VA 2907 Ministry of Housing and Construction 1987 -1988 Prime
VF 255 SHOP REGISTRATION,"VA 2661 Department of Industry, Technology and Resources 1987 -1990 Prime"
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 2907 Ministry of Housing and Construction 1987 -1991 Prime
"VF 174 HOUSING, PUBLIC",VA 2907 Ministry of Housing and Construction 1987 -1991 Prime
VF 120 SCHOOL ATTENDANCE REGULATION,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1987 -1992 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1987 -1992 Other
VF 267 EMPLOYMENT OF CHILDREN,VA 2777 Department of Labour II (known as Department of Employment and Industrial Affairs 1985-1986) 1987 -1992 Prime
VF 318 EDUCATION (TERTIARY) POST C.1987,VA 1112 Ministry of Education and Training (previously known as Ministry of Education) 1987 -1992 Prime
VF 318 EDUCATION (TERTIARY) POST C.1987,VA 721 Victorian Post-Secondary Education Commission 1987 -1993 Prime
VF 412 TEACHERS (REGISTRATION OF),VA 4087 Teachers Registration Board 1987 -1993 Prime
VF 242 PLANNING APPEALS,VA 2659 Administrative Appeals Tribunal 1987 -1998 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 3002 State Training Board 1987 -by 2002 Prime
VF 318 EDUCATION (TERTIARY) POST C.1987,VA 3002 State Training Board 1987 -by 2002 Prime
"VF 125 HEALTH, PUBLIC","VA 2823 Monash Medical Centre (Clayton Campus) , (part of Southern Health Care Network) 1987 -ct Prime"
VF 245 AGRICULTURE,VA 2995 Swine Industry Projects Advisory Committee 1987 -ct Prime
VF 245 AGRICULTURE,VA 2993 Victorian Biological Control Authority 1987 -ct Prime
VF 277 MAJOR DEVELOPMENT PROJECTS CO-ORDINATION,VA 2979 Office of Major Projects [known as the Victorian Government Major Projects Unit 1987-1992] 1987 -ct Prime
VF 438 FRIENDLY SOCIETIES REGISTRATION,VA 679 Corporate Affairs Office 1987 -ct Prime
VF 198 PRICES MONITORING,VA 430 Department of Property and Services 1988 -1989 Prime
VF 246 FISH MARKETING,"VA 1034 Department of Conservation, Forests and Lands 1988 -1990 Prime"
"VF 218 BUILDINGS, GOVERNMENT (OUTFITTING)",VA 430 Department of Property and Services 1988 -1991 Prime
"VF 219 SUPPLY OF FURNITURE, STORES AND EQUIPMENT",VA 430 Department of Property and Services 1988 -1991 Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 430 Department of Property and Services 1988 -1991 Prime
VF 94 LIQUOR LICENSING,VA 2869 Liquor Licensing Commission 1988 -1998 Prime
"VF 301 POLICE, INVESTIGATION OF COMPLAINTS CONCERNING",VA 1037 Office of the Ombudsman (Ombudsman Victoria) 1988 -2004 Prime
VF 43 INQUESTS (REGISTRATION),VA 2807 State Coroner's Office 1988 -ct Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 2985 Rural Finance Corporation II 1988 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 3001 Heathcote Community Health Service 1988 -ct Prime
VF 229 RESEARCH INSTITUTES,VA 4741 Prince Henry's Institute of Medical Research 1988 -ct Prime
VF 431 ECONOMIC DEVELOPMENT LOANS,VA 2985 Rural Finance Corporation II 1988 -ct Prime
VF 149 GROUNDWATER RESOURCES,VA 2354 Department of Water Resources 1989 -1990 Prime
"VF 446 INDUSTRY, INVESTMENT IN",VA 1041 State Bank of Victoria 1989 -1990 Prime
VF 198 PRICES MONITORING,VA 1026 Ministry of Consumer Affairs 1989 -1992 Prime
VF 259 RETAIL TRADING HOURS,VA 1026 Ministry of Consumer Affairs 1989 -1992 Prime
VF 15 ROADS AND BRIDGES,VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
VF 60 PRISONS AND CORRECTIONAL SERVICES,VA 4858 HM Melbourne Assessment Prison 1989 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 2999 Mordialloc-Cheltenham Community Health Centre 1989 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 3000 Narre Warren Community Health Centre 1989 -ct Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
VF 159 MOTOR REGISTRATION AND DRIVER LICENSING,VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
VF 160 ROAD SAFETY AND TRAFFIC MANAGEMENT,VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
VF 472 ROAD TRANSPORT REGULATION,VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
VF 488 TRANSPORT REGULATION,VA 2982 Roads Corporation (also known as VicRoads) 1989 -ct Prime
"VF 489 TRANSPORT SERVICES : PUBLIC, METROPOLITAN AREA",VA 2984 Public Transport Corporation 1989 -ct Prime
"VF 490 TRANSPORT SERVICES : PUBLIC, NON-METROPOLITAN AREA",VA 2984 Public Transport Corporation 1989 -ct Prime
VF 24 GEOLOGICAL SURVEY,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 151 MINING AND EXTRACTIVE INDUSTRIES,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 152 PETROLEUM INDUSTRY,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 220 ECONOMIC DEVELOPMENT,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 261 FUEL PRICES REGULATION,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 3005 Department of Industry and Office of Economic Planning (previously known as Department of Industry and Economic Planning) 1990 -1990 Prime
VF 5 FINANCE,VA 3007 Department of the Treasury 1990 -1991 Prime
VF 78 PROPERTY AND ASSETS,VA 430 Department of Property and Services 1990 -1991 Prime
VF 244 BUILDING REGULATION,VA 3006 Department of Planning and Urban Growth 1990 -1991 Prime
